DUID,REGIONID,CONNECTIONPOINTID,STATIONID,FY15-16,FY16-17,FY17-18,FY18-19,FY19-20,FY20-21,FY21-22,FY22-23,FY23-24,FY24-25,FY25-26,FY26-27,LATEST_MLF,PREV_MLF,YOY_CHANGE,YOY_PCT_CHANGE,STATION_NAME,FUEL_SOURCE,FUEL_CATEGORY,TECHNOLOGY,CAPACITY_MW,DUID_TYPE,STATUS
BBTHREE3,TAS1,TBB13,BBP31,0.9995,1.0001,1.0001,1.0003,0.9997,0.9975,0.9982,0.9975,0.9968,0.9977,0.9986,0.9977,0.9977,0.9986,-0.0009,-0.09,Bell Bay Three Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),35.0,Generator,Active
BBTHREE2,TAS1,TBB12,BBP31,0.9995,1.0001,1.0001,1.0003,0.9997,0.9975,0.9982,0.9975,0.9968,0.9977,0.9986,0.9977,0.9977,0.9986,-0.0009,-0.09,Bell Bay Three Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),35.0,Generator,Active
BBTHREE1,TAS1,TBB11,BBP31,0.9995,1.0001,1.0001,1.0003,0.9997,0.9975,0.9982,0.9975,0.9968,0.9977,0.9986,0.9977,0.9977,0.9986,-0.0009,-0.09,Bell Bay Three Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),35.0,Generator,Active
TVPP104,TAS1,TBB14A,BBP31,0.9995,1.0001,1.0001,1.0003,0.9997,0.9975,0.9982,0.9975,0.9968,0.9977,0.9986,0.9977,0.9977,0.9986,-0.0009,-0.09,Bell Bay Three Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),58.0,Generator,Active
BLNKTAS,TAS1,TGT11,BASSLINK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Basslink HVDC Link,,Other,,478.0,Generator,Active
DG_TAS1,TAS1,TDNSG,DG_TAS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,TAS1 Dummy Generator,,,,3000.0,Generator,Active
TVCC201,TAS1,TTV11A,TVCCPS,0.9996,1.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Tamar Valley Combined Cycle Power Station,Natural Gas,Fossil,Combined Cycle Gas Turbine (CCGT),208.6,Generator,Active
LI_WY_CA,TAS1,TLI11,LI_WY_CA,0.9915,1.0028,0.9919,0.9977,0.9936,0.9817,0.9789,0.9845,0.9809,0.9899,0.9855,1.0052,1.0052,0.9855,0.0197,2.0,Catagunya / Liapootah / Wayatinah Power Station,Water,Hydro,Hydro - Gravity,173.7,Generator,Active
CLUNY,TAS1,TCL11,CLUNY,0.9933,1.0055,0.9908,1.0019,0.9961,0.9855,0.9798,0.985,0.9857,0.9922,0.9857,1.0055,1.0055,0.9857,0.0198,2.01,Cluny Power Station,Water,Hydro,Hydro - Gravity,19.0,Generator,Active
REPULSE,TAS1,TCL12,REPULSE,0.9933,1.0055,0.9908,1.0019,0.9961,0.9855,0.9798,0.985,0.9857,0.9922,0.9857,1.0055,1.0055,0.9857,0.0198,2.01,Repulse Power Station,Water,Hydro,Hydro - Gravity,28.0,Generator,Active
CTHLWF1,TAS1,TWC11C,CTHLWF,,,,,0.986,0.985,0.9809,0.9888,0.9836,0.9908,0.9924,1.0088,1.0088,0.9924,0.0164,1.65,Cattle Hill Wind Farm,Wind,Wind,Wind - Onshore,148.0,Generator,Active
MEADOWBK,TAS1,TMB11,MEADOWBK,0.9737,0.9756,0.977,0.9773,0.9716,0.9773,0.983,0.9824,0.9688,0.9872,0.9811,1.0091,1.0091,0.9811,0.028,2.85,Meadowbank Power Station,Water,Hydro,Hydro - Gravity,40.0,Generator,Active
MIDLDPS1,TAS1,TAV21M,MIDLDPS,1.0167,1.0301,1.0017,1.014,1.0064,0.9982,1.0023,1.0104,1.0032,1.0111,1.0121,1.0121,1.0121,1.0121,0.0,0.0,Midlands Power Station,,,,6.0,Generator,Active
MEADOWB2,TAS1,TMB12M,MEADOWBK,0.9737,,,,,,,,,,,,,,,,Meadowbank Power Station,,,,,Unknown,Retired
CATAGUN1,TAS1,TLI12C,LI_WY_CA,0.9915,,,,,,,,,,,,,,,,Catagunya / Liapootah / Wayatinah Power Station,,Fossil,,24.0,Generator,Retired
PORTLAT1,TAS1,TPL21P,PORTLATT,0.9602,,,,,,,,,,,,,,,,Port Latta Diesel Generator,,Fossil,,11.0,Generator,Retired
GEORGTN1,TAS1,TGT31G,GEORGTWN,1.0092,,,,,,,,,,,,,,,,GEORGE TOWN DIESEL,,,,,Unknown,Retired
GEORGTN2,TAS1,TGT32G,GEORGTWN,1.0092,,,,,,,,,,,,,,,,GEORGE TOWN DIESEL,,,,,Unknown,Retired
QUERIVE1,TAS1,TQU21Q,QUERIVER,0.9458,0.9759,,,,,,,,,,,,,,,Que River Diesel,,Fossil,,24.0,Generator,Retired
BBDISEL1,TAS1,TBBC1B,BBDISEL1,0.9998,1.0003,,,,,,,,,,,,,,,Bell Bay Power Station,,Fossil,,75.0,Generator,Retired
REMOUNT,TAS1,TMY21,REMOUNT,0.9904,0.9982,0.9938,0.9965,0.9938,0.9899,,,,,,,,,,,Remount Power Station,,Other Renewable,,2.0,Generator,Retired
KIAMSF1,VIC1,VKMT1K,KIAMSF,,,,,,0.8043,0.8504,0.8775,0.8775,0.8363,0.8785,0.8738,0.8738,0.8785,-0.0047,-0.54,Kiamal Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,239.0,Generator,Active
MUWAWF2,VIC1,VMRT2M,MUWAWF2,,,,,,,0.8883,0.8661,0.8768,0.8619,0.8817,0.8824,0.8824,0.8817,0.0007,0.08,Murra Warra Wind Farm Stage 2,Wind,Wind,Wind - Onshore,209.0,Generator,Active
MUWAWF1,VIC1,VMRT1M,MUWAWF,,,,0.9549,0.8885,0.8885,0.8883,0.8661,0.8768,0.8619,0.8817,0.8824,0.8824,0.8817,0.0007,0.08,Murra Warra Wind Farm,Wind,Wind,Wind - Onshore,231.8,Generator,Active
BULGANA1,VIC1,VBGT1B,BULGANA,,,,,0.9014,0.8988,0.8949,0.8839,0.8821,0.8733,0.8907,0.8868,0.8868,0.8907,-0.0039,-0.44,Bulgana Green Power Hub,Wind,Wind,Wind - Onshore,204.0,Generator,Active
BULBES1,VIC1,VBGT4B,BULGANA,,,,,,,,,,0.8733,0.8907,0.8868,0.8868,0.8907,-0.0039,-0.44,Bulgana Green Power Hub,Grid,Battery,Battery,24.0,Generator,Active
DIAPURWF1,VIC1,VHOG2D,DIAPURWF,,,,,,,0.9005,0.8788,0.8827,0.8733,0.8959,0.8954,0.8954,0.8959,-0.0005,-0.06,Diapur Wind Farm,Wind,Wind,Wind - Onshore,8.0,Generator,Active
KIATAWF1,VIC1,VHOG1K,KIATAWF,,,1.0357,0.9911,0.9066,0.8974,0.9016,0.8788,0.8827,0.8733,0.8959,0.8954,0.8954,0.8959,-0.0005,-0.06,Kiata Wind Farm,Wind,Wind,Wind - Onshore,31.05,Generator,Active
CRWARP1,VIC1,VCPT1C,CRWARPSF,,,,,,,,,,,0.8883,0.8963,0.8963,0.8883,0.008,0.9,Carwarp Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,186.0,Generator,Active
CROWLWF1,VIC1,VCWL1C,CROWLWF,,,,0.9803,0.9139,0.9026,0.8985,0.8877,0.8904,0.8833,0.9004,0.8966,0.8966,0.9004,-0.0038,-0.42,Crowlands Wind Farm,Wind,Wind,Wind - Onshore,79.95,Generator,Active
ARWF1,VIC1,VART1A,ARWF,1.0344,1.0299,1.0019,0.9691,0.9038,0.8983,0.8987,0.8894,0.8899,0.8856,0.9031,0.898,0.898,0.9031,-0.0051,-0.56,Ararat Wind Farm,Wind,Wind,Wind - Onshore,241.59,Generator,Active
YATSF1,VIC1,VRCS2Y,YATSF,,,,,,0.8045,0.8673,0.8886,0.8877,0.8506,0.8895,0.9051,0.9051,0.8895,0.0156,1.75,Yatpool Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,94.0,Generator,Active
KARSF1,VIC1,VRCS1K,KARSF,,,,0.9472,0.8097,0.8045,0.8673,0.8886,0.8877,0.8506,0.8895,0.9051,0.9051,0.8895,0.0156,1.75,Karadoc Solar Farm,Solar,Solar,Photovoltaic Flat panel,104.0,Generator,Active
BANN1,VIC1,VWES1B,BANNSP,,,,1.0062,0.8246,0.8096,0.8633,0.8928,0.8947,0.8584,0.8986,0.9092,0.9092,0.8986,0.0106,1.18,Bannerton Solar Park,Solar,Solar,Photovoltaic Tracking Flat panel,100.0,Generator,Active
WEMENSF1,VIC1,VWES2W,WEMENSF1,,,,0.9262,0.8246,0.8096,0.8633,0.8928,0.8947,0.8584,0.8986,0.9092,0.9092,0.8986,0.0106,1.18,Wemen Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,97.5,Generator,Active
WUNUSF1,VIC1,VSHS2W,WUNUSF,,,,,,,,,,0.9477,0.9463,0.921,0.921,0.9463,-0.0253,-2.67,Wunghnu Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,93.5,Generator,Active
NUMURSF1,VIC1,VSHS1N,NUMURKSF,,,,0.982,0.9896,0.9945,0.9963,0.9715,0.9738,0.9477,0.9463,0.921,0.921,0.9463,-0.0253,-2.67,Numurkah Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,112.0,Generator,Active
GIRGSF,VIC1,VSHS2G,GIRGSF,,,,,,,,,,0.9477,0.9463,0.921,0.921,0.9463,-0.0253,-2.67,Girgarre Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,93.31,Generator,Active
LANCSF1,VIC1,VSHS3L,LANCASF1,,,,,,,,,,,0.9441,0.921,0.921,0.9441,-0.0231,-2.45,Lancaster Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,94.0,Generator,Active
WINTSF1,VIC1,VGNS2W,WINTONSF,,,,,,0.9815,0.9976,0.9671,0.9675,0.9455,0.9402,0.9211,0.9211,0.9402,-0.0191,-2.03,Winton Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,107.0,Generator,Active
GLRWNSF1,VIC1,VGNS1G,GLRWNSF,,,,,,0.9815,0.9976,0.9671,0.9675,0.9455,0.9402,0.9211,0.9211,0.9402,-0.0191,-2.03,Glenrowan West Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,132.0,Generator,Active
MOKOSF1,VIC1,VGN61M,MOKOANSF,,,,,,,,,,0.9484,0.9415,0.9257,0.9257,0.9415,-0.0158,-1.68,Mokoan Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,58.0,Generator,Active
GOESF1,VIC1,VGET1G,GOESF,,,,,,,,,,,0.9328,0.9261,0.9261,0.9328,-0.0067,-0.72,Goorambat East Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,348.6,Generator,Active
WNSF1,VIC1,VGNW1W,WNSF,,,,,,,,,,1.0015,0.9519,0.9282,0.9282,0.9519,-0.0237,-2.49,Wangaratta Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,26.4,Generator,Active
COHUNSF1,VIC1,VKGS2C,COHUNA,,,,,,0.8863,0.9127,0.9336,0.9413,0.8962,0.9305,0.929,0.929,0.9305,-0.0015,-0.16,Cohuna Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,31.0,Generator,Active
GANNSF1,VIC1,VKGS1G,GANNSF,,,1.044,0.9729,0.8994,0.8863,0.9127,0.9336,0.9413,0.8962,0.9305,0.929,0.929,0.9305,-0.0015,-0.16,Gannawarra Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,55.0,Generator,Active
GLENSF1,VIC1,VGN21G,GLENSF,,,,,,,,,0.9627,0.9626,0.949,0.9294,0.9294,0.949,-0.0196,-2.07,Glenrowan Solar Farm,Solar,Solar,Photovoltaic Tracking Flat Panel,126.0,Generator,Active
WAUBRAWF,VIC1,VWBT1A,WAUBRAWF,1.0122,1.0111,0.9997,0.9784,0.9324,0.9228,0.9221,0.9233,0.924,0.9149,0.9329,0.9299,0.9299,0.9329,-0.003,-0.32,Waubra Wind Farm,Wind,Wind,Wind - Onshore,192.0,Generator,Active
KERNGSP1,VIC1,VKGP1K,KERNGSP1,,,,,,,,,,0.8964,0.9329,0.9311,0.9311,0.9329,-0.0018,-0.19,Kerang Solar Plant,Solar,Solar,Photovoltaic Tracking Flat Panel,37.0,Generator,Active
BRYB2WF2,VIC1,VBBT2B,BRYB2WF,,,,,,,,0.9496,0.9397,0.9315,0.9465,0.9436,0.9436,0.9465,-0.0029,-0.31,Berrybank 2 Wind Farm,Wind,Wind,Wind - Onshore,109.0,Generator,Active
BRYB1WF1,VIC1,VBBT1B,BRYB1WF,,,,,,0.9482,0.9431,0.9496,0.9397,0.9315,0.9465,0.9436,0.9436,0.9465,-0.0029,-0.31,Berrybank Wind Farm,Wind,Wind,Wind - Onshore,180.6,Generator,Active
MCKAY1,VIC1,VMKP1,MCKAY,0.9883,0.9543,0.9213,0.9265,0.9618,0.965,0.9726,0.9665,0.9819,0.9703,0.9828,0.9495,0.9495,0.9828,-0.0333,-3.39,Bogong / Mackay Power Station,Water,Hydro,Hydro - Gravity,300.0,Generator,Active
SALTCRK1,VIC1,VTG61S,SALTCRK,,,1.0193,1.0076,0.9742,0.9588,0.9515,0.9584,0.9476,0.9388,0.9519,0.9499,0.9499,0.9519,-0.002,-0.21,Salt Creek Wind Farm,Wind,Wind,Wind - Onshore,54.0,Generator,Active
MRTLSWF1,VIC1,VTG21M,MRTLSWF,,,,,,,0.9768,0.9573,0.9528,0.943,0.9525,0.9507,0.9507,0.9525,-0.0018,-0.19,Mortlake South Wind Farm,Wind,Wind,Wind - Onshore,157.5,Generator,Active
YENDWF1,VIC1,VBAW1Y,YENDONWF,,,,0.9986,0.9612,0.9474,0.9422,0.9497,0.9522,0.9425,0.9537,0.9547,0.9547,0.9537,0.001,0.1,Yendon Wind Farm,Wind,Wind,Wind - Onshore,144.4,Generator,Active
MOORAWF1,VIC1,VELT2M,MOORAWF,,,,,,0.9501,0.9459,0.948,0.9576,0.9475,0.9569,0.9556,0.9556,0.9569,-0.0013,-0.14,Moorabool Wind Farm ,Wind,Wind,Wind - Onshore,312.0,Generator,Active
MOORABS1,VIC1,VELT3M,MOORAWF,,,,,,,,,,,0.9569,0.9556,0.9556,0.9569,-0.0013,-0.14,Moorabool Wind Farm ,Grid,Battery,Battery and Inverter,2.0,Generator,Active
MERCER01,VIC1,VELT1M,MTMERCER,1.0033,1.0048,1.001,0.9909,0.965,0.9501,0.9459,0.948,0.9576,0.9475,0.9569,0.9556,0.9556,0.9569,-0.0013,-0.14,Mt Mercer Wind Farm,Wind,Wind,Wind - Onshore,131.2,Generator,Active
ELAINWF1,VIC1,VELT3E,ELAINEWF,,,,,0.965,0.9501,0.9459,0.948,0.9576,0.9475,0.9569,0.9556,0.9556,0.9569,-0.0013,-0.14,Elaine Wind Farm,Wind,Wind,Wind - Onshore,83.6,Generator,Active
MURAYNL3,VIC1,NMURL3,MURRAY,0.9885,0.959,0.8964,0.9069,0.9539,0.9674,0.9966,0.9719,0.985,0.9947,0.9819,0.9565,0.9565,0.9819,-0.0254,-2.59,Murray Power Station,,Hydro,,25.0,Generator,Active
